"","height","position","breathingBeltRespiration","sensorRespiration","percentError","deviation"
"192",2,"Side",5.52486228942871,6.17827266530356,0.118267269235848,-0.65341037587485
"193",2,"Side",6.24349641799927,7.20125968418375,0.153401748325403,-0.95776326618448
"194",2,"Side",7.82268571853638,8.99203130618252,0.149481345629839,-1.16934558764614
"195",2,"Side",6.74157333374023,9.6394069486939,0.429845300421282,-2.89783361495367
"196",2,"Side",6.07697486877441,4.86644835190344,-0.199198868353245,1.21052651687097
"197",2,"Side",6.77966117858887,6.38818928380515,-0.0577421031039197,0.39147189478372
"198",2,"Side",8.9285717010498,3.46925901833742,-0.611443001804027,5.45931268271238
"199",2,"Side",11.3421545028687,4.29694166995559,-0.621152959178189,7.04521283291311
"200",2,"Side",4.72069263458252,6.14657410938585,0.302049208702491,-1.42588147480333
"201",2,"Side",11.3421545028687,8.84956633007891,-0.21976320038308,2.49258817278979
"202",2,"Side",8.45070457458496,6.14017888053573,-0.273412195830157,2.31052569404923
"203",2,"Side",5.83657598495483,3.77366792540092,-0.353444907574501,2.06290805955391
"204",2,"Side",5.79710149765015,3.9017359032402,-0.326950562307428,1.89536559440995
"205",2,"Side",5.52486228942871,4.12497311460269,-0.25337992179544,1.39988917482602
"206",2,"Side",3.22580647468567,9.12694172643739,1.82935191495849,-5.90113525175172
"207",2,"Side",3.93700766563416,7.19366925627515,0.827192087805198,-3.25666159064099
"208",2,"Side",4.78468894958496,5.69445132237527,0.190140337726494,-0.90976237279031
"209",2,"Side",5.54016637802124,7.10580719881144,0.28259815932629,-1.5656408207902
"210",2,"Side",6.06673383712769,5.27486874032838,-0.130525768569768,0.79186509679931
"211",2,"Side",6.28930854797363,6.43876669720399,0.0237638443225232,-0.14945814923036
"212",2,"Side",8.04289531707764,4.18801819078455,-0.479289730168184,3.85487712629309
"213",2,"Side",6.70391035079956,5.20541454605858,-0.223525633000486,1.49849580474098
"214",3,"Front",8.32177543640137,8.69297070435966,0.0446052973665445,-0.371195267958289
"215",3,"Front",5.92885398864746,6.77877837666566,0.143353907794935,-0.8499243880182
"216",3,"Front",4.97925329208374,7.45117529757827,0.496444318151983,-2.47192200549453
"217",3,"Front",6.71140956878662,9.60417648451422,0.431022259344931,-2.8927669157276
"218",3,"Front",9.82800960540771,10.7168199376847,0.0904364533575483,-0.888810332276991
"219",3,"Front",9.34579467773438,11.3698674007747,0.216575774755946,-2.02407272304032
"220",3,"Front",8.5470085144043,10.0511978937941,0.175990158059956,-1.5041893793898
"221",3,"Front",9.33852100372314,10.2140571991235,0.093755338243743,-0.875536195400361
"222",3,"Front",9.78792858123779,11.1560121117073,0.139772528897682,-1.36808353046951
"223",3,"Front",9.30232524871826,11.3343042130103,0.218437746473337,-2.03197896429204
"224",3,"Front",9.54653930664062,7.00165282558299,-0.266576860924607,2.54488648105763
"225",3,"Front",10.2880659103394,8.83205078680512,-0.141524669089746,1.45601512353428
"226",3,"Front",10.4895105361938,12.0658690794568,0.150279513788924,-1.576358543263
