"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)","Data Set 2:Time(s)","Data Set 2:Force(N)","Data Set 2:Respiration Rate(bpm)","Data Set 3:Time(s)","Data Set 3:Force(N)","Data Set 3:Respiration Rate(bpm)","Data Set 4:Time(s)","Data Set 4:Force(N)","Data Set 4:Respiration Rate(bpm)"
,,,,,,178.19999999999999,3.0786361694335938,,178.19999999999999,2.3146896362304688,
,,,,,,178.30000000000001,3.0403060913085938,,178.30000000000001,2.322357177734375,
,,,,,,178.40000000000001,2.9968719482421875,,178.40000000000001,2.3325729370117188,
,,,,,,178.5,2.9585494995117188,,178.5,2.3427963256835938,
,,,,,,178.59999999999999,2.9176712036132812,,178.59999999999999,2.340240478515625,
,,,,,,178.69999999999999,2.8665695190429688,,178.69999999999999,2.3095779418945312,
,,,,,,178.80000000000001,2.835906982421875,,178.80000000000001,2.29425048828125,
,,,,,,178.90000000000001,2.8205795288085938,,178.90000000000001,2.3070220947265625,
,,,,,,179,2.8154678344726562,,179,2.3070220947265625,
,,,,,,179.09999999999999,2.8129119873046875,,179.09999999999999,2.2993621826171875,
,,,,,,179.19999999999999,2.8026962280273438,,179.19999999999999,2.2993621826171875,
,,,,,,179.30000000000001,2.7873611450195312,,179.30000000000001,2.3095779418945312,
,,,,,,179.40000000000001,2.7745895385742188,,179.40000000000001,2.3351287841796875,
,,,,,,179.5,2.7669219970703125,,179.5,2.376007080078125,
,,,,,,179.59999999999999,2.7592620849609375,,179.59999999999999,2.43988037109375,
,,,,,,179.69999999999999,2.7464828491210938,,179.69999999999999,2.4935379028320312,
,,,,,,179.80000000000001,2.726043701171875,,179.80000000000001,2.5471954345703125,
,,,,,,179.90000000000001,2.7107162475585938,,179.90000000000001,2.6749420166015625,
,,,,,,180,2.7132720947265625,9.132420539855957,180,2.8614578247070312,10.489510536193848
,,,,,,180.09999999999999,2.7183761596679688,,180.09999999999999,3.0096511840820312,
,,,,,,180.19999999999999,2.7183761596679688,,180.19999999999999,3.1092910766601562,
,,,,,,180.30000000000001,2.7234878540039062,,180.30000000000001,3.1961669921875,
,,,,,,180.40000000000001,2.7337112426757812,,180.40000000000001,3.2804794311523438,
,,,,,,180.5,2.7388153076171875,,180.5,3.3826751708984375,
,,,,,,180.59999999999999,2.7490386962890625,,180.59999999999999,3.5027618408203125,
,,,,,,180.69999999999999,2.7388153076171875,,180.69999999999999,3.5461959838867188,
,,,,,,180.80000000000001,2.7056045532226562,,180.80000000000001,3.50787353515625,
,,,,,,180.90000000000001,2.6877212524414062,,180.90000000000001,3.4823226928710938,
,,,,,,181,2.7004928588867188,,181,3.4414443969726562,
,,,,,,181.09999999999999,2.7337112426757812,,181.09999999999999,3.35968017578125,
,,,,,,181.19999999999999,2.7899169921875,,181.19999999999999,3.2855911254882812,
,,,,,,181.30000000000001,2.8691253662109375,,181.30000000000001,3.2293777465820312,
,,,,,,181.40000000000001,2.9585494995117188,,181.40000000000001,3.168060302734375,
,,,,,,181.5,3.0530853271484375,,181.5,3.1067352294921875,
,,,,,,181.59999999999999,3.10418701171875,,181.59999999999999,3.0505294799804688,
,,,,,,181.69999999999999,3.1373977661132812,,181.69999999999999,2.9892120361328125,
,,,,,,181.80000000000001,3.203826904296875,,181.80000000000001,2.9176712036132812,
,,,,,,181.90000000000001,3.3034744262695312,,181.90000000000001,2.853790283203125,
,,,,,,182,3.4414443969726562,,182,2.8129119873046875,
,,,,,,182.09999999999999,3.6535110473632812,,182.09999999999999,2.7899169921875,
,,,,,,182.19999999999999,3.8706817626953125,,182.19999999999999,2.77203369140625,
,,,,,,182.30000000000001,3.9805526733398438,,182.30000000000001,2.7515945434570312,
,,,,,,182.40000000000001,4.0393142700195312,,182.40000000000001,2.7311553955078125,
,,,,,,182.5,4.13385009765625,,182.5,2.7234878540039062,
,,,,,,182.59999999999999,4.2590408325195312,,182.59999999999999,2.7234878540039062,
,,,,,,182.69999999999999,4.3382492065429688,,182.69999999999999,2.7030487060546875,
,,,,,,182.80000000000001,4.307586669921875,,182.80000000000001,2.6647262573242188,
,,,,,,182.90000000000001,4.2462692260742188,,182.90000000000001,2.6008453369140625,
,,,,,,183,4.1823959350585938,,183,2.5267562866210938,
,,,,,,183.09999999999999,4.07763671875,,183.09999999999999,2.4603271484375,
,,,,,,183.19999999999999,3.9550018310546875,,183.19999999999999,2.4194412231445312,
,,,,,,183.30000000000001,3.8553543090820312,,183.30000000000001,2.4066696166992188,
,,,,,,183.40000000000001,3.7863693237304688,,183.40000000000001,2.3913421630859375,
,,,,,,183.5,3.7250518798828125,,183.5,2.3811187744140625,
,,,,,,183.59999999999999,3.663726806640625,,183.59999999999999,2.38623046875,
,,,,,,183.69999999999999,3.599853515625,,183.69999999999999,2.376007080078125,
,,,,,,183.80000000000001,3.5461959838867188,,183.80000000000001,2.3708953857421875,
,,,,,,183.90000000000001,3.5002059936523438,,183.90000000000001,2.3734512329101562,
,,,,,,184,3.4491119384765625,,184,2.3632354736328125,
,,,,,,184.09999999999999,3.4005661010742188,,184.09999999999999,2.3427963256835938,
,,,,,,184.19999999999999,3.35968017578125,,184.19999999999999,2.3274612426757812,
,,,,,,184.30000000000001,3.334136962890625,,184.30000000000001,2.3198013305664062,
,,,,,,184.40000000000001,3.2983627319335938,,184.40000000000001,2.322357177734375,
,,,,,,184.5,3.2370452880859375,,184.5,2.3325729370117188,
,,,,,,184.59999999999999,3.168060302734375,,184.59999999999999,2.3351287841796875,
,,,,,,184.69999999999999,3.1220703125,,184.69999999999999,2.3325729370117188,
,,,,,,184.80000000000001,3.093963623046875,,184.80000000000001,2.3249053955078125,
,,,,,,184.90000000000001,3.0709686279296875,,184.90000000000001,2.3121337890625,
,,,,,,185,3.0352020263671875,,185,2.2993621826171875,
,,,,,,185.09999999999999,2.9968719482421875,,185.09999999999999,2.29425048828125,
,,,,,,185.19999999999999,2.9611053466796875,,185.19999999999999,2.2993621826171875,
,,,,,,185.30000000000001,2.9253311157226562,,185.30000000000001,2.3095779418945312,
,,,,,,185.40000000000001,2.8767852783203125,,185.40000000000001,2.3325729370117188,
,,,,,,185.5,2.8205795288085938,,185.5,2.4015579223632812,
,,,,,,185.59999999999999,2.7694778442382812,,185.59999999999999,2.5625228881835938,
,,,,,,185.69999999999999,2.7337112426757812,,185.69999999999999,2.754150390625,
,,,,,,185.80000000000001,2.7132720947265625,,185.80000000000001,2.9125595092773438,
,,,,,,185.90000000000001,2.6953811645507812,,185.90000000000001,3.083740234375,
,,,,,,186,2.6851654052734375,,186,3.2804794311523438,
,,,,,,186.09999999999999,2.6826095581054688,,186.09999999999999,3.4669952392578125,
,,,,,,186.19999999999999,2.6723861694335938,,186.19999999999999,3.6126327514648438,
,,,,,,186.30000000000001,2.6647262573242188,,186.30000000000001,3.7276077270507812,
,,,,,,186.40000000000001,2.6596145629882812,,186.40000000000001,3.8272476196289062,
,,,,,,186.5,2.6391754150390625,,186.5,3.9192276000976562,
,,,,,,186.59999999999999,2.62384033203125,,186.59999999999999,4.0086517333984375,
,,,,,,186.69999999999999,2.616180419921875,,186.69999999999999,4.105743408203125,
,,,,,,186.80000000000001,2.60595703125,,186.80000000000001,4.1875076293945312,
,,,,,,186.90000000000001,2.6085128784179688,,186.90000000000001,4.1926116943359375,
,,,,,,187,2.6212921142578125,,187,4.1261825561523438,
,,,,,,187.09999999999999,2.6289520263671875,,187.09999999999999,4.0418701171875,
