"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)","Data Set 2:Time(s)","Data Set 2:Force(N)","Data Set 2:Respiration Rate(bpm)","Data Set 3:Time(s)","Data Set 3:Force(N)","Data Set 3:Respiration Rate(bpm)"
,,,,,,32.299999999999997,2.984100341796875,
,,,,,,32.399999999999999,3.001983642578125,
,,,,,,32.5,3.0173110961914062,
,,,,,,32.600000000000001,3.0275344848632812,
,,,,,,32.700000000000003,3.0479736328125,
,,,,,,32.799999999999997,3.0709686279296875,
,,,,,,32.899999999999999,3.06585693359375,
,,,,,,33,3.0454177856445312,
,,,,,,33.100000000000001,3.0326461791992188,
,,,,,,33.200000000000003,3.0352020263671875,
,,,,,,33.299999999999997,3.0607452392578125,
,,,,,,33.399999999999999,3.1067352294921875,
,,,,,,33.5,3.1884994506835938,
,,,,,,33.600000000000001,3.32391357421875,
,,,,,,33.700000000000003,3.4644393920898438,
,,,,,,33.799999999999997,3.571746826171875,
,,,,,,33.899999999999999,3.663726806640625,
,,,,,,34,3.7710418701171875,
,,,,,,34.100000000000001,3.9192276000976562,
,,,,,,34.200000000000003,4.0367584228515625,
,,,,,,34.299999999999997,4.0853042602539062,
,,,,,,34.399999999999999,4.1312942504882812,
,,,,,,34.5,4.1568450927734375,
,,,,,,34.600000000000001,4.1287384033203125,
,,,,,,34.700000000000003,4.0904159545898438,
,,,,,,34.799999999999997,4.0367584228515625,
,,,,,,34.899999999999999,3.9575576782226562,
,,,,,,35,3.8655776977539062,
,,,,,,35.100000000000001,3.7889251708984375,
,,,,,,35.200000000000003,3.7276077270507812,
,,,,,,35.299999999999997,3.663726806640625,
,,,,,,35.399999999999999,3.6049652099609375,
,,,,,,35.5,3.5615310668945312,
,,,,,,35.600000000000001,3.518096923828125,
,,,,,,35.700000000000003,3.4593276977539062,
,,,,,,35.799999999999997,3.4031219482421875,
,,,,,,35.899999999999999,3.3647918701171875,
,,,,,,36,3.32391357421875,
,,,,,,36.100000000000001,3.277923583984375,
,,,,,,36.200000000000003,3.2472610473632812,
,,,,,,36.299999999999997,3.2370452880859375,
,,,,,,36.399999999999999,3.2344894409179688,
,,,,,,36.5,3.2344894409179688,
,,,,,,36.600000000000001,3.2293777465820312,
,,,,,,36.700000000000003,3.2089385986328125,
,,,,,,36.799999999999997,3.1884994506835938,
,,,,,,36.899999999999999,3.1884994506835938,
,,,,,,37,3.2063827514648438,
,,,,,,37.100000000000001,3.2166061401367188,
,,,,,,37.200000000000003,3.2242660522460938,
,,,,,,37.299999999999997,3.2268218994140625,
,,,,,,37.399999999999999,3.2344894409179688,
,,,,,,37.5,3.2472610473632812,
,,,,,,37.600000000000001,3.2472610473632812,
,,,,,,37.700000000000003,3.2344894409179688,
,,,,,,37.799999999999997,3.2114944458007812,
,,,,,,37.899999999999999,3.21405029296875,
,,,,,,38,3.23193359375,
,,,,,,38.100000000000001,3.2447052001953125,
,,,,,,38.200000000000003,3.2549285888671875,
,,,,,,38.299999999999997,3.2651519775390625,
,,,,,,38.399999999999999,3.2728118896484375,
,,,,,,38.5,3.2855911254882812,
,,,,,,38.600000000000001,3.2804794311523438,
,,,,,,38.700000000000003,3.2447052001953125,
,,,,,,38.799999999999997,3.21405029296875,
,,,,,,38.899999999999999,3.1936111450195312,
,,,,,,39,3.203826904296875,
,,,,,,39.100000000000001,3.2549285888671875,
,,,,,,39.200000000000003,3.3366851806640625,
,,,,,,39.299999999999997,3.4414443969726562,
,,,,,,39.399999999999999,3.5513076782226562,
,,,,,,39.5,3.6611709594726562,
,,,,,,39.600000000000001,3.7710418701171875,
,,,,,,39.700000000000003,3.8630218505859375,
,,,,,,39.799999999999997,3.9371109008789062,
,,,,,,39.899999999999999,4.0112075805664062,
,,,,,,40,4.0801925659179688,11.820330619812012
,,,,,,40.100000000000001,4.1031875610351562,
,,,,,,40.200000000000003,4.087860107421875,
,,,,,,40.299999999999997,4.0520858764648438,
,,,,,,40.399999999999999,3.9882125854492188,
,,,,,,40.5,3.9013442993164062,
,,,,,,40.600000000000001,3.8042526245117188,
,,,,,,40.700000000000003,3.7122726440429688,
,,,,,,40.799999999999997,3.6305160522460938,
,,,,,,40.899999999999999,3.5615310668945312,
,,,,,,41,3.5104293823242188,
,,,,,,41.100000000000001,3.4874343872070312,
,,,,,,41.200000000000003,3.461883544921875,
,,,,,,41.299999999999997,3.4158935546875,
,,,,,,41.399999999999999,3.3647918701171875,
,,,,,,41.5,3.3264694213867188,
,,,,,,41.600000000000001,3.3009185791015625,
,,,,,,41.700000000000003,3.3009185791015625,
,,,,,,41.799999999999997,3.2753677368164062,
,,,,,,41.899999999999999,3.1629486083984375,
,,,,,,42,3.0965194702148438,
,,,,,,42.100000000000001,3.1322860717773438,
,,,,,,42.200000000000003,3.1910552978515625,
,,,,,,42.299999999999997,3.2293777465820312,
,,,,,,42.399999999999999,3.221710205078125,
,,,,,,42.5,3.1884994506835938,
,,,,,,42.600000000000001,3.168060302734375,
,,,,,,42.700000000000003,3.1552810668945312,
,,,,,,42.799999999999997,3.1552810668945312,
,,,,,,42.899999999999999,3.168060302734375,
,,,,,,43,3.17572021484375,
,,,,,,43.100000000000001,3.185943603515625,
,,,,,,43.200000000000003,3.203826904296875,
,,,,,,43.299999999999997,3.2370452880859375,
